Node1,Node1Property_GroupLabel,Node2,Node2Property_GroupLabel,EdgeProperty_Correlation,EdgeProperty_Arrow_Direction,EdgeProperty_PaperID,EdgeProperty_SampleSize,EdgeProperty_SampleYears,EdgeProperty_SampleCountries,EdgeProperty_SampleIndustries
Perceived line manger behavior,causes,Engagement,eudaimonic well-being,0.36,node1-->node2,ATSRG13HRM,872,2008,United Kingdom,Service
Gender,causes,Age,causes,-0.16,noncausal,ATSRG13HRM,924,2008,United Kingdom,Service
Gender,causes,Age,causes,-0.24,noncausal,ATSRG13HRM,872,2008,United Kingdom,Service
Age,causes,Procedural justice,social well-being,-0.08,node1-->node2,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Gender,causes,Procedural justice,social well-being,0.09,node1-->node2,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Age,causes,Perceived organizational support,social well-being,-0.12,node1-->node2,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Distributive justice,social well-being,Perceived organizational support,social well-being,0.42,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Gender,causes,Perceived organizational support,social well-being,0.05,node1-->node2,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Informational justice,social well-being,Perceived organizational support,social well-being,0.38,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Informational justice,social well-being,Perceived organizational support,social well-being,0.31,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Procedural justice,social well-being,Perceived organizational support,social well-being,0.54,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Age,causes,Leader-member exchange,social well-being,-0.08,node1-->node2,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Distributive justice,social well-being,Leader-member exchange,social well-being,0.36,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Gender,causes,Leader-member exchange,social well-being,0.06,node1-->node2,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Informational justice,social well-being,Leader-member exchange,social well-being,0.59,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Informational justice,social well-being,Leader-member exchange,social well-being,0.54,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Perceived organizational support,social well-being,Leader-member exchange,social well-being,0.39,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Procedural justice,social well-being,Leader-member exchange,social well-being,0.41,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Age,causes,Informational justice,social well-being,-0.06,node1-->node2,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Age,causes,Informational justice,social well-being,-0.05,node1-->node2,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Distributive justice,social well-being,Informational justice,social well-being,0.46,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Distributive justice,social well-being,Informational justice,social well-being,0.39,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Gender,causes,Informational justice,social well-being,0,node1-->node2,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Informational justice,social well-being,Informational justice,social well-being,0.69,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Procedural justice,social well-being,Informational justice,social well-being,0.58,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Procedural justice,social well-being,Informational justice,social well-being,0.47,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Age,causes,Distributive justice,social well-being,-0.11,node1-->node2,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Gender,causes,Distributive justice,social well-being,0.07,node1-->node2,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Procedural justice,social well-being,Distributive justice,social well-being,0.56,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Age,causes,Counterproductive behavior-supervisor,performance,-0.06,node1-->node2,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Counterproductive behavior,performance,Counterproductive behavior-supervisor,performance,0.43,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Distributive justice,social well-being,Counterproductive behavior-supervisor,performance,-0.14,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Gender,causes,Counterproductive behavior-supervisor,performance,0.11,node1-->node2,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Informational justice,social well-being,Counterproductive behavior-supervisor,performance,-0.38,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Informational justice,social well-being,Counterproductive behavior-supervisor,performance,-0.3,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Leader-member exchange,social well-being,Counterproductive behavior-supervisor,performance,-0.47,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Perceived organizational support,social well-being,Counterproductive behavior-supervisor,performance,-0.17,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Procedural justice,social well-being,Counterproductive behavior-supervisor,performance,-0.17,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Age,causes,Counterproductive behavior,performance,-0.14,node1-->node2,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Distributive justice,social well-being,Counterproductive behavior,performance,-0.1,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Gender,causes,Counterproductive behavior,performance,0.04,node1-->node2,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Informational justice,social well-being,Counterproductive behavior,performance,-0.21,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Informational justice,social well-being,Counterproductive behavior,performance,-0.16,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Leader-member exchange,social well-being,Counterproductive behavior,performance,-0.15,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Perceived organizational support,social well-being,Counterproductive behavior,performance,-0.13,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Procedural justice,social well-being,Counterproductive behavior,performance,-0.09,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Gender,causes,Age,causes,0.04,noncausal,AVC10HR,602,2005,Canada,"manufacturing, healthcare, public administration, banking"
Age,causes,Task interdependence,causes,0.15,noncausal,AVR18LQ,245,2013,US,IT
Dyadic sex similarity,causes,Task interdependence,causes,-0.02,noncausal,AVR18LQ,245,2013,US,IT
Dyadic tenure,causes,Task interdependence,causes,0.06,noncausal,AVR18LQ,245,2013,US,IT
Age,causes,Organizational citizenship behavior,performance,0.02,node1-->node2,AVR18LQ,245,2013,US,IT
Dyadic sex similarity,causes,Organizational citizenship behavior,performance,-0.16,node1-->node2,AVR18LQ,245,2013,US,IT
Dyadic tenure,causes,Organizational citizenship behavior,performance,-0.13,node1-->node2,AVR18LQ,245,2013,US,IT
Leader-member exchange,social well-being,Organizational citizenship behavior,performance,0.16,noncausal,AVR18LQ,245,2013,US,IT
Task interdependence,causes,Organizational citizenship behavior,performance,0,node1-->node2,AVR18LQ,245,2013,US,IT
Age,causes,Leader-member exchange,social well-being,-0.13,node1-->node2,AVR18LQ,245,2013,US,IT
Dyadic sex similarity,causes,Leader-member exchange,social well-being,-0.01,node1-->node2,AVR18LQ,245,2013,US,IT
Dyadic tenure,causes,Leader-member exchange,social well-being,-0.08,node1-->node2,AVR18LQ,245,2013,US,IT
Task interdependence,causes,Leader-member exchange,social well-being,0.18,node1-->node2,AVR18LQ,245,2013,US,IT
Group size,causes,Leader power distance,causes,-0.14,noncausal,AVR18LQ,54,2013,US,IT
Group task interdependence,causes,Leader power distance,causes,0.05,noncausal,AVR18LQ,54,2013,US,IT
Supervisor age,causes,Leader power distance,causes,-0.02,noncausal,AVR18LQ,54,2013,US,IT
Group size,causes,Group task interdependence,causes,0.24,noncausal,AVR18LQ,54,2013,US,IT
Supervisor age,causes,Group task interdependence,causes,0.4,noncausal,AVR18LQ,54,2013,US,IT
Supervisor age,causes,Group size,causes,-0.01,noncausal,AVR18LQ,54,2013,US,IT
Age,causes,Dyadic tenure,causes,0.16,noncausal,AVR18LQ,245,2013,US,IT
Dyadic sex similarity,causes,Dyadic tenure,causes,0.11,noncausal,AVR18LQ,245,2013,US,IT
Age,causes,Dyadic sex similarity,causes,0.13,noncausal,AVR18LQ,245,2013,US,IT
Age,causes,Socioeconomic status,economic well-being,0.2,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Gender,causes,Socioeconomic status,economic well-being,-0.21,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Industry,causes,Socioeconomic status,economic well-being,0.05,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Age,causes,M-positive,causes,-0.02,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Gender,causes,M-positive,causes,0.17,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Industry,causes,M-positive,causes,0,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
M-negative,causes,M-positive,causes,0.27,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Socioeconomic status,economic well-being,M-positive,causes,-0.03,node2-->node1,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Age,causes,M-negative,causes,0.15,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Gender,causes,M-negative,causes,0.22,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Industry,causes,M-negative,causes,0.05,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Socioeconomic status,economic well-being,M-negative,causes,-0.01,node2-->node1,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Age,causes,M-all,causes,0.07,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Gender,causes,M-all,causes,0.25,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Industry,causes,M-all,causes,0.04,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
M-negative,causes,M-all,causes,0.77,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
M-positive,causes,M-all,causes,0.81,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Socioeconomic status,economic well-being,M-all,causes,0.02,node2-->node1,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Age,causes,Life satisfaction,hedonic well-being,-0.07,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Agreeableness,causes,Life satisfaction,hedonic well-being,0.12,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Family interference with work,hedonic well-being,Life satisfaction,hedonic well-being,-0.13,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Gender,causes,Life satisfaction,hedonic well-being,0.06,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Industry,causes,Life satisfaction,hedonic well-being,-0.1,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Job satisfaction,hedonic well-being,Life satisfaction,hedonic well-being,0.43,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Job Stress,hedonic well-being,Life satisfaction,hedonic well-being,-0.43,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
M-all,causes,Life satisfaction,hedonic well-being,0.07,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
M-negative,causes,Life satisfaction,hedonic well-being,0.07,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
M-positive,causes,Life satisfaction,hedonic well-being,0.04,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Socioeconomic status,economic well-being,Life satisfaction,hedonic well-being,0.14,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Age,causes,Job Stress,hedonic well-being,0,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Agreeableness,causes,Job Stress,hedonic well-being,-0.12,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Family interference with work,hedonic well-being,Job Stress,hedonic well-being,0.19,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Gender,causes,Job Stress,hedonic well-being,0.04,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Industry,causes,Job Stress,hedonic well-being,0.11,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
M-all,causes,Job Stress,hedonic well-being,0,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
M-negative,causes,Job Stress,hedonic well-being,-0.09,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
M-positive,causes,Job Stress,hedonic well-being,0.09,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Socioeconomic status,economic well-being,Job Stress,hedonic well-being,-0.05,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Age,causes,Job satisfaction,hedonic well-being,0.06,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Agreeableness,causes,Job satisfaction,hedonic well-being,0.25,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Family interference with work,hedonic well-being,Job satisfaction,hedonic well-being,-0.09,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Gender,causes,Job satisfaction,hedonic well-being,0.05,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Industry,causes,Job satisfaction,hedonic well-being,-0.11,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Job Stress,hedonic well-being,Job satisfaction,hedonic well-being,-0.63,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
M-all,causes,Job satisfaction,hedonic well-being,0.12,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
M-negative,causes,Job satisfaction,hedonic well-being,0.2,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
M-positive,causes,Job satisfaction,hedonic well-being,0,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Socioeconomic status,economic well-being,Job satisfaction,hedonic well-being,0.11,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Age,causes,Industry,causes,0.02,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Gender,causes,Industry,causes,0.08,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Age,causes,Gender,causes,0.02,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Age,causes,Family interference with work,hedonic well-being,0.06,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Gender,causes,Family interference with work,hedonic well-being,0.04,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Industry,causes,Family interference with work,hedonic well-being,-0.02,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
M-all,causes,Family interference with work,hedonic well-being,-0.02,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
M-negative,causes,Family interference with work,hedonic well-being,-0.14,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
M-positive,causes,Family interference with work,hedonic well-being,0.1,node1-->node2,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Socioeconomic status,economic well-being,Family interference with work,hedonic well-being,0.02,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Age,causes,Agreeableness,causes,0.15,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Family interference with work,hedonic well-being,Agreeableness,causes,-0.08,node2-->node1,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Gender,causes,Agreeableness,causes,0.18,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Industry,causes,Agreeableness,causes,-0.05,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
M-all,causes,Agreeableness,causes,0.53,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
M-negative,causes,Agreeableness,causes,0.67,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
M-positive,causes,Agreeableness,causes,0.19,noncausal,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Socioeconomic status,economic well-being,Agreeableness,causes,-0.07,node2-->node1,AVSR15HR,756,2010,US,"Manufacturing, IT, Agriculture"
Age,causes,Work hours,causes,0.67,noncausal,AZB04JOB,520,1999,Singapore,Public Healthcare
Informational justice,social well-being,Tolerance for inequity,causes,0.03,node2-->node1,BB10JAP,144,2005,Israel,Education
Job performance,performance,Tolerance for inequity,causes,-0.15,node2-->node1,BB10JAP,144,2005,Israel,Education
Job performance,performance,Tolerance for inequity,causes,-0.009,node2-->node1,BB10JAP,144,2005,Israel,Education
Pay communication policy,causes,Tolerance for inequity,causes,-0.19,noncausal,BB10JAP,144,2005,Israel,Education
Perceived instrumentality,performance,Tolerance for inequity,causes,0.08,node2-->node1,BB10JAP,144,2005,Israel,Education
Procedural justice,social well-being,Tolerance for inequity,causes,0.05,node2-->node1,BB10JAP,144,2005,Israel,Education
Informational justice,social well-being,Procedural justice,social well-being,0.56,noncausal,BB10JAP,144,2005,Israel,Education
Job performance,performance,Procedural justice,social well-being,-0.05,node2-->node1,BB10JAP,144,2005,Israel,Education
Job performance,performance,Procedural justice,social well-being,0.12,node2-->node1,BB10JAP,144,2005,Israel,Education
Pay communication policy,causes,Procedural justice,social well-being,-0.02,node1-->node2,BB10JAP,144,2005,Israel,Education
Informational justice,social well-being,Perceived instrumentality,performance,-0.05,noncausal,BB10JAP,144,2005,Israel,Education
Job performance,performance,Perceived instrumentality,performance,0.07,noncausal,BB10JAP,144,2005,Israel,Education
Job performance,performance,Perceived instrumentality,performance,0.23,noncausal,BB10JAP,144,2005,Israel,Education
Pay communication policy,causes,Perceived instrumentality,performance,-0.05,node1-->node2,BB10JAP,144,2005,Israel,Education
Procedural justice,social well-being,Perceived instrumentality,performance,0.02,noncausal,BB10JAP,144,2005,Israel,Education
Job performance,performance,Job performance,performance,0.47,noncausal,BB10JAP,144,2005,Israel,Education
Pay communication policy,causes,Job performance,performance,0.21,node1-->node2,BB10JAP,144,2005,Israel,Education
Pay communication policy,causes,Job performance,performance,0.03,node1-->node2,BB10JAP,144,2005,Israel,Education
Job performance,performance,Informational justice,social well-being,0.06,node2-->node1,BB10JAP,144,2005,Israel,Education
Job performance,performance,Informational justice,social well-being,0.1,node2-->node1,BB10JAP,144,2005,Israel,Education
Pay communication policy,causes,Informational justice,social well-being,-0.09,node1-->node2,BB10JAP,144,2005,Israel,Education
Age,causes,Work hours per week,causes,-0.04,noncausal,BB12JAP,1093,2007,US,Transportation
Ethnicity,causes,Work hours per week,causes,-0.06,noncausal,BB12JAP,1093,2007,US,Transportation
Gender,causes,Work hours per week,causes,-0.13,noncausal,BB12JAP,1093,2007,US,Transportation
Tenure,causes,Work hours per week,causes,-0.04,noncausal,BB12JAP,1093,2007,US,Transportation
Age,causes,Tenure,causes,0.46,noncausal,BB12JAP,1093,2007,US,Transportation
Gender,causes,Tenure,causes,0.07,noncausal,BB12JAP,1093,2007,US,Transportation
Age,causes,Referent group absence norms,causes,0.02,noncausal,BB12JAP,1093,2007,US,Transportation
Division (buses),causes,Referent group absence norms,causes,-0.07,noncausal,BB12JAP,1093,2007,US,Transportation
Division (underground/subway operations),causes,Referent group absence norms,causes,-0.03,noncausal,BB12JAP,1093,2007,US,Transportation
Ethnicity,causes,Referent group absence norms,causes,-0.03,noncausal,BB12JAP,1093,2007,US,Transportation
Exposure to critical aversive incidents,physical well-being,Referent group absence norms,causes,0.14,node2-->node1,BB12JAP,1093,2007,US,Transportation
Gender,causes,Referent group absence norms,causes,0.01,noncausal,BB12JAP,1093,2007,US,Transportation
Negative affectivity,causes,Referent group absence norms,causes,-0.03,noncausal,BB12JAP,1093,2007,US,Transportation
Perceived job hazards,causes,Referent group absence norms,causes,0.2,noncausal,BB12JAP,1093,2007,US,Transportation
Tenure,causes,Referent group absence norms,causes,0.12,noncausal,BB12JAP,1093,2007,US,Transportation
Work hours per week,causes,Referent group absence norms,causes,-0.08,noncausal,BB12JAP,1093,2007,US,Transportation
Age,causes,Perceived supervisor support,social well-being,-0.05,node1-->node2,BB12JAP,1093,2007,US,Transportation
Division (buses),causes,Perceived supervisor support,social well-being,-0.02,node1-->node2,BB12JAP,1093,2007,US,Transportation
Division (underground/subway operations),causes,Perceived supervisor support,social well-being,-0.03,node1-->node2,BB12JAP,1093,2007,US,Transportation
Ethnicity,causes,Perceived supervisor support,social well-being,-0.03,node1-->node2,BB12JAP,1093,2007,US,Transportation
Exposure to critical aversive incidents,physical well-being,Perceived supervisor support,social well-being,0.16,noncausal,BB12JAP,1093,2007,US,Transportation
Gender,causes,Perceived supervisor support,social well-being,0.04,node1-->node2,BB12JAP,1093,2007,US,Transportation
Negative affectivity,causes,Perceived supervisor support,social well-being,-0.04,node1-->node2,BB12JAP,1093,2007,US,Transportation
Perceived job hazards,causes,Perceived supervisor support,social well-being,0.25,node1-->node2,BB12JAP,1093,2007,US,Transportation
Referent group absence norms,causes,Perceived supervisor support,social well-being,0.31,node1-->node2,BB12JAP,1093,2007,US,Transportation
Tenure,causes,Perceived supervisor support,social well-being,0.1,node1-->node2,BB12JAP,1093,2007,US,Transportation
Work hours per week,causes,Perceived supervisor support,social well-being,-0.05,node1-->node2,BB12JAP,1093,2007,US,Transportation
Age,causes,Perceived job hazards,causes,-0.06,noncausal,BB12JAP,1093,2007,US,Transportation
Division (buses),causes,Perceived job hazards,causes,-0.02,noncausal,BB12JAP,1093,2007,US,Transportation
Division (underground/subway operations),causes,Perceived job hazards,causes,0.09,noncausal,BB12JAP,1093,2007,US,Transportation
Ethnicity,causes,Perceived job hazards,causes,0.01,noncausal,BB12JAP,1093,2007,US,Transportation
Gender,causes,Perceived job hazards,causes,0.17,noncausal,BB12JAP,1093,2007,US,Transportation
Negative affectivity,causes,Perceived job hazards,causes,-0.02,noncausal,BB12JAP,1093,2007,US,Transportation
Tenure,causes,Perceived job hazards,causes,0.06,noncausal,BB12JAP,1093,2007,US,Transportation
Work hours per week,causes,Perceived job hazards,causes,0.03,noncausal,BB12JAP,1093,2007,US,Transportation
Age,causes,Negative affectivity,causes,0.01,noncausal,BB12JAP,1093,2007,US,Transportation
Division (buses),causes,Negative affectivity,causes,-0.01,noncausal,BB12JAP,1093,2007,US,Transportation
Division (underground/subway operations),causes,Negative affectivity,causes,-0.05,noncausal,BB12JAP,1093,2007,US,Transportation
Ethnicity,causes,Negative affectivity,causes,-0.02,noncausal,BB12JAP,1093,2007,US,Transportation
Gender,causes,Negative affectivity,causes,-0.05,noncausal,BB12JAP,1093,2007,US,Transportation
Tenure,causes,Negative affectivity,causes,-0.1,noncausal,BB12JAP,1093,2007,US,Transportation
Work hours per week,causes,Negative affectivity,causes,-0.06,noncausal,BB12JAP,1093,2007,US,Transportation
Age,causes,Exposure to critical aversive incidents,physical well-being,-0.08,node1-->node2,BB12JAP,1093,2007,US,Transportation
Division (buses),causes,Exposure to critical aversive incidents,physical well-being,0.05,node1-->node2,BB12JAP,1093,2007,US,Transportation
Division (underground/subway operations),causes,Exposure to critical aversive incidents,physical well-being,-0.09,node1-->node2,BB12JAP,1093,2007,US,Transportation
Ethnicity,causes,Exposure to critical aversive incidents,physical well-being,0.02,node1-->node2,BB12JAP,1093,2007,US,Transportation
Gender,causes,Exposure to critical aversive incidents,physical well-being,0.05,node1-->node2,BB12JAP,1093,2007,US,Transportation
Negative affectivity,causes,Exposure to critical aversive incidents,physical well-being,-0.03,node1-->node2,BB12JAP,1093,2007,US,Transportation
Perceived job hazards,causes,Exposure to critical aversive incidents,physical well-being,0.29,node1-->node2,BB12JAP,1093,2007,US,Transportation
Tenure,causes,Exposure to critical aversive incidents,physical well-being,-0.04,node1-->node2,BB12JAP,1093,2007,US,Transportation
Work hours per week,causes,Exposure to critical aversive incidents,physical well-being,0.02,node1-->node2,BB12JAP,1093,2007,US,Transportation
Age,causes,Ethnicity,causes,-0.17,noncausal,BB12JAP,1093,2007,US,Transportation
Gender,causes,Ethnicity,causes,0.12,noncausal,BB12JAP,1093,2007,US,Transportation
Tenure,causes,Ethnicity,causes,-0.23,noncausal,BB12JAP,1093,2007,US,Transportation
Age,causes,Division (underground/subway operations),causes,0.05,noncausal,BB12JAP,1093,2007,US,Transportation
Division (buses),causes,Division (underground/subway operations),causes,-0.25,noncausal,BB12JAP,1093,2007,US,Transportation
Ethnicity,causes,Division (underground/subway operations),causes,-0.05,noncausal,BB12JAP,1093,2007,US,Transportation
Gender,causes,Division (underground/subway operations),causes,-0.06,noncausal,BB12JAP,1093,2007,US,Transportation
Tenure,causes,Division (underground/subway operations),causes,0.24,noncausal,BB12JAP,1093,2007,US,Transportation
Work hours per week,causes,Division (underground/subway operations),causes,-0.07,noncausal,BB12JAP,1093,2007,US,Transportation
Age,causes,Division (buses),causes,-0.18,noncausal,BB12JAP,1093,2007,US,Transportation
Ethnicity,causes,Division (buses),causes,-0.03,noncausal,BB12JAP,1093,2007,US,Transportation
Gender,causes,Division (buses),causes,-0.32,noncausal,BB12JAP,1093,2007,US,Transportation
Tenure,causes,Division (buses),causes,-0.32,noncausal,BB12JAP,1093,2007,US,Transportation
Work hours per week,causes,Division (buses),causes,0.29,noncausal,BB12JAP,1093,2007,US,Transportation
Gender,causes,Age,causes,0.02,noncausal,BB12JAP,1093,2007,US,Transportation
Age,causes,Absenteeism,performance,-0.04,node1-->node2,BB12JAP,1093,2007,US,Transportation
Division (buses),causes,Absenteeism,performance,0.06,node1-->node2,BB12JAP,1093,2007,US,Transportation
Division (underground/subway operations),causes,Absenteeism,performance,-0.06,node1-->node2,BB12JAP,1093,2007,US,Transportation
Ethnicity,causes,Absenteeism,performance,0.01,node1-->node2,BB12JAP,1093,2007,US,Transportation
Exposure to critical aversive incidents,physical well-being,Absenteeism,performance,0.02,noncausal,BB12JAP,1093,2007,US,Transportation
Gender,causes,Absenteeism,performance,0.08,node1-->node2,BB12JAP,1093,2007,US,Transportation
Negative affectivity,causes,Absenteeism,performance,0.05,node1-->node2,BB12JAP,1093,2007,US,Transportation
Perceived job hazards,causes,Absenteeism,performance,0.03,node1-->node2,BB12JAP,1093,2007,US,Transportation
Perceived supervisor support,social well-being,Absenteeism,performance,-0.02,noncausal,BB12JAP,1093,2007,US,Transportation
Referent group absence norms,causes,Absenteeism,performance,0.11,node1-->node2,BB12JAP,1093,2007,US,Transportation
Tenure,causes,Absenteeism,performance,0.05,node1-->node2,BB12JAP,1093,2007,US,Transportation
Work hours per week,causes,Absenteeism,performance,0.05,node1-->node2,BB12JAP,1093,2007,US,Transportation
Age,causes,Turnover,social well-being,0.06,node1-->node2,BB16HR,160,2011,Netherlands,Health Care
